,v0,w0,v1,w1,payload,unit weight,m,Pmax,Pstable,M,r,P_ul,wheel_v1,wheel_v2,wheel_v3,wheel_v4,P_ut,P_useful,w2,v2,w3,v3,w4,v4
54,0.3,0.0,0.0,0.4,1,5.8,50,,166.1074695,55.8,0.0,0.0,0.15210851389715174,0.15210851389715174,0.15210851389715174,0.15210851389715174,83.17901973951847,83.17901973951847,0.16000000000000003,0.0,0.06400000000000002,0.0,0.025600000000000008,0.0
55,0.5,0.0,0.3,0.4,1,5.8,50,,163.0832317,55.8,0.7499999999999999,0.0,0.21572436116489022,0.21572436116489022,0.4239540069394321,0.4239540069394321,174.90085940708383,174.90085940708383,0.16000000000000003,0.09,0.06400000000000002,0.027,0.025600000000000008,0.0081
56,0.3,0.3,0.4,0.4,1,5.8,50,,175.2393592,55.8,1.0,0.0,0.30714328903624116,0.30714328903624116,0.521475790425596,0.521475790425596,226.56102870645555,226.56102870645555,0.16000000000000003,0.16000000000000003,0.06400000000000002,0.06400000000000002,0.025600000000000008,0.025600000000000008
57,0.5,0.0,0.1,0.4,2,5.8,50,,148.8955295,61.6,0.25,0.0,0.10458011283222064,0.10458011283222064,0.23523817717368925,0.23523817717368925,102.57075265538386,102.57075265538386,0.16000000000000003,0.010000000000000002,0.06400000000000002,0.0010000000000000002,0.025600000000000008,0.00010000000000000003
58,0.3,0.0,0.0,0.4,2,5.8,50,,181.5479675,61.6,0.0,0.0,0.15210851389715174,0.15210851389715174,0.15210851389715174,0.15210851389715174,91.82486766943258,91.82486766943258,0.16000000000000003,0.0,0.06400000000000002,0.0,0.025600000000000008,0.0
59,0.5,0.0,0.3,0.4,2,5.8,50,,172.4857724,61.6,0.7499999999999999,0.0,0.21572436116489022,0.21572436116489022,0.4239540069394321,0.4239540069394321,193.08051862860867,193.08051862860867,0.16000000000000003,0.09,0.06400000000000002,0.027,0.025600000000000008,0.0081
60,0.3,0.3,0.4,0.4,2,5.8,50,,190.7049818,61.6,1.0,0.0,0.30714328903624116,0.30714328903624116,0.521475790425596,0.521475790425596,250.11038294476097,250.11038294476097,0.16000000000000003,0.16000000000000003,0.06400000000000002,0.06400000000000002,0.025600000000000008,0.025600000000000008
61,0.0,0.0,0.0,0.5,0,5.8,50,175.53,143.38,50.0,0.0,0.0,0.19013564237143968,0.19013564237143968,0.19013564237143968,0.19013564237143968,93.16646476200545,93.16646476200545,0.25,0.0,0.125,0.0,0.0625,0.0
62,0.0,0.0,0.3,0.5,0,5.8,50,193.66,139.42,50.0,0.6,0.0,0.20712692364827898,0.20712692364827898,0.4576041548106835,0.4576041548106835,162.85911422244584,162.85911422244584,0.25,0.09,0.125,0.027,0.0625,0.0081
63,0.1,0.5,0.5,0.5,0,5.8,50,260.49,176.64,50.0,1.0,0.0,0.38392911129530144,0.38392911129530144,0.6518447380319949,0.6518447380319949,253.76459308518764,253.76459308518764,0.25,0.25,0.125,0.125,0.0625,0.0625
64,0.0,0.0,0.5,0.5,0,5.8,50,234.91,153.48,50.0,1.0,0.0,0.38392911129530144,0.38392911129530144,0.6518447380319949,0.6518447380319949,253.76459308518764,253.76459308518764,0.25,0.25,0.125,0.125,0.0625,0.0625
65,0.0,0.0,0.1,0.5,0,5.8,50,172.57,138.4,50.0,0.2,0.0,0.1356523589916519,0.1356523589916519,0.2718484182407542,0.2718484182407542,99.8376904219395,99.8376904219395,0.25,0.010000000000000002,0.125,0.0010000000000000002,0.0625,0.00010000000000000003
66,0.3,0.1,0.3,0.5,0,5.8,50,218.07,157.84,50.0,0.6,0.0,0.20712692364827898,0.20712692364827898,0.4576041548106835,0.4576041548106835,162.85911422244584,162.85911422244584,0.25,0.09,0.125,0.027,0.0625,0.0081
67,0.0,0.0,0.5,0.5,1,5.8,50,260.83,179.11,55.8,1.0,0.0,0.38392911129530144,0.38392911129530144,0.6518447380319949,0.6518447380319949,283.2012858830694,283.2012858830694,0.25,0.25,0.125,0.125,0.0625,0.0625
68,0.0,0.0,0.1,0.5,1,5.8,50,170.89,155.94,55.8,0.2,0.0,0.1356523589916519,0.1356523589916519,0.2718484182407542,0.2718484182407542,111.41886251088448,111.41886251088448,0.25,0.010000000000000002,0.125,0.0010000000000000002,0.0625,0.00010000000000000003
69,0.0,0.0,0.3,0.5,1,5.8,50,210.13,152.03,55.8,0.6,0.0,0.20712692364827898,0.20712692364827898,0.4576041548106835,0.4576041548106835,181.75077147224954,181.75077147224954,0.25,0.09,0.125,0.027,0.0625,0.0081
70,0.2,0.0,0.3,0.5,1,5.8,50,,178.3262195,55.8,0.6,0.0,0.20712692364827898,0.20712692364827898,0.4576041548106835,0.4576041548106835,181.75077147224954,181.75077147224954,0.25,0.09,0.125,0.027,0.0625,0.0081
71,0.0,0.0,0.0,0.5,1,5.8,50,,187.4519817,55.8,0.0,0.0,0.19013564237143968,0.19013564237143968,0.19013564237143968,0.19013564237143968,103.97377467439809,103.97377467439809,0.25,0.0,0.125,0.0,0.0625,0.0
72,0.1,0.1,0.5,0.5,1,5.8,50,,197.7286585,55.8,1.0,0.0,0.38392911129530144,0.38392911129530144,0.6518447380319949,0.6518447380319949,283.2012858830694,283.2012858830694,0.25,0.25,0.125,0.125,0.0625,0.0625
73,0.0,0.0,0.1,0.5,2,5.8,50,234.78,182.92,61.6,0.2,0.0,0.1356523589916519,0.1356523589916519,0.2718484182407542,0.2718484182407542,123.00003459982946,123.00003459982946,0.25,0.010000000000000002,0.125,0.0010000000000000002,0.0625,0.00010000000000000003
74,0.0,0.0,0.3,0.5,2,5.8,50,243.56,164.41,61.6,0.6,0.0,0.20712692364827898,0.20712692364827898,0.4576041548106835,0.4576041548106835,200.64242872205327,200.64242872205327,0.25,0.09,0.125,0.027,0.0625,0.0081
75,0.0,0.0,0.5,0.5,2,5.8,50,359.2,189.82,61.6,1.0,0.0,0.38392911129530144,0.38392911129530144,0.6518447380319949,0.6518447380319949,312.63797868095116,312.63797868095116,0.25,0.25,0.125,0.125,0.0625,0.0625
76,0.0,0.0,0.0,0.5,2,5.8,50,,206.2343206,61.6,0.0,0.0,0.19013564237143968,0.19013564237143968,0.19013564237143968,0.19013564237143968,114.78108458679071,114.78108458679071,0.25,0.0,0.125,0.0,0.0625,0.0
77,0.1,0.1,0.5,0.5,2,5.8,50,,213.998,61.6,1.0,0.0,0.38392911129530144,0.38392911129530144,0.6518447380319949,0.6518447380319949,312.63797868095116,312.63797868095116,0.25,0.25,0.125,0.125,0.0625,0.0625
